S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
-9840.63,1204.96,18.23,24.83,515.25,0.052359453,2847.41,6993.22,0.710647591,2307.33,0.234469744,7115.625529,6549.463874
-9840.63,1204.96,18.23,24.83,515.25,0.052359453,2847.41,6993.22,0.710647591,2307.33,0.234469744,7114.662548,6546.580436
-9846.95,1863.57,17.41,26.5,515.14,0.052314676,2855.65,6991.3,0.709996496,2314.01,0.234997639,7126.390014,6534.335482
-9846.95,1863.57,17.41,26.5,515.14,0.052314676,2855.65,6991.3,0.709996496,2314.01,0.234997639,7133.241075,6550.724379
-9855.91,1192.07,13.07,21.84,514.96,0.052248854,2862.76,6993.15,0.709538744,2325.96,0.235996473,7146.262022,6540.91074
-9855.91,1192.07,13.07,21.84,514.96,0.052248854,2862.76,6993.15,0.709538744,2325.96,0.235996473,7147.226181,6542.769621
-9859.82,1212.57,15.55,22.21,509.71,0.05169567,2870.99,6988.83,0.708819228,2339.07,0.237232526,7154.550405,6523.289768
-9859.82,1212.57,15.55,22.21,509.71,0.05169567,2870.99,6988.83,0.708819228,2339.07,0.237232526,7159.247535,6530.522721
-9862.81,465.8,14.52,20.04,515.71,0.052288344,2875.2,6987.61,0.708480646,2339.45,0.237199135,7152.900407,6500.693863
-9862.81,465.8,14.52,20.04,515.71,0.052288344,2875.2,6987.61,0.708480646,2339.45,0.237199135,7150.333275,6497.337368
-9878.02,-70.13,8.01,27.9,520.51,0.052693758,2880.88,6997.14,0.708354508,2332.47,0.236127281,7154.341252,6485.814635
-9878.02,-70.13,8.01,27.9,520.51,0.052693758,2880.88,6997.14,0.708354508,2332.47,0.236127281,7149.090544,6479.685731
-9894.91,589.21,13.27,28.26,532.36,0.053801399,2895.08,6999.83,0.707417248,2334.46,0.235925339,7130.317033,6454.592895
-9894.91,589.21,13.27,28.26,532.36,0.053801399,2895.08,6999.83,0.707417248,2334.46,0.235925339,7141.813218,6465.350178
-9896.98,132.66,5.63,21.34,533.47,0.053902302,2908.89,6988.09,0.706083068,2354.08,0.237858417,7120.593011,6446.568816
-9896.98,132.66,5.63,21.34,533.47,0.053902302,2908.89,6988.09,0.706083068,2354.08,0.237858417,7131.655497,6455.010514
-9899.46,555.55,11.63,27.59,535.23,0.054066585,2911.79,6987.67,0.705863754,2348.97,0.23728264,7122.762239,6452.515584
-9899.46,555.55,11.63,27.59,535.23,0.054066585,2911.79,6987.67,0.705863754,2348.97,0.23728264,7120.086388,6450.953882
-9902.59,375.91,13.73,17.4,539.65,0.054495844,2914.63,6987.96,0.705669931,2357.58,0.238077109,7121.354221,6457.874672
-9902.59,375.91,13.73,17.4,539.65,0.054495844,2914.63,6987.96,0.705669931,2357.58,0.238077109,7132.47719,6463.524403
-9904.11,600.1,13.4,25.07,536.19,0.054138131,2917.62,6986.49,0.705413207,2356.36,0.23791739,7163.116351,6488.587712
-9904.11,600.1,13.4,25.07,536.19,0.054138131,2917.62,6986.49,0.705413207,2356.36,0.23791739,7145.659201,6478.629802
-9909.08,828.1,17.31,25.12,532.87,0.053775931,2920.15,6988.93,0.705305639,2362.16,0.238383382,7271.64403,6566.744167
-9909.08,828.1,17.31,25.12,532.87,0.053775931,2920.15,6988.93,0.705305639,2362.16,0.238383382,7317.255712,6598.779578
-9909.64,634.45,18.86,21.16,532.7,0.053755737,2924.29,6985.35,0.704904517,2370.43,0.239204451,7350.459825,6627.605086
-9909.64,634.45,18.86,21.16,532.7,0.053755737,2924.29,6985.35,0.704904517,2370.43,0.239204451,7349.785975,6627.155444
-9912.33,586.18,20.27,18.69,533.37,0.053808741,2925.32,6987.01,0.704880689,2373.26,0.239425039,7382.975345,6662.139764
-9912.33,586.18,20.27,18.69,533.37,0.053808741,2925.32,6987.01,0.704880689,2373.26,0.239425039,7368.547582,6651.996454
-9914.21,1214.88,20.8,22.2,529.04,0.053361791,2928.07,6986.14,0.704659272,2376.83,0.239739727,7380.12866,6672.15433
-9914.21,1214.88,20.8,22.2,529.04,0.053361791,2928.07,6986.14,0.704659272,2376.83,0.239739727,7394.027142,6681.895538
-9916.13,1802.41,19.52,22.66,519.33,0.052372246,2930.07,6986.06,0.704514765,2388.08,0.240827823,7389.332535,6694.750937
-9916.13,1802.41,19.52,22.66,519.33,0.052372246,2930.07,6986.06,0.704514765,2388.08,0.240827823,7392.675108,6696.73425
